ID,Title,Description,URL,Format,Tags,Tone,Audience,Source,Language
1,How to Manage Fear and Anxiety,Comprehensive guide explaining the origins of fear and anxiety with practical coping strategies for daily life.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-overcome-anxiety-and-fear,Guide,anxiety|coping|fear|mental-health,supportive,all,Mental Health Foundation,English
2,Doomscrolling - Tips for Healthier News Consumption,Article examining the mental health effects of excessive news consumption and provides strategies for healthier digital habits.,https://www.mentalhealth.org.uk/explore-mental-health/articles/doomscrolling-tips-healthier-news-consumption,Article,anxiety|digital-wellbeing|stress|media,informative,all,Mental Health Foundation,English
3,How to Sleep Better,Practical guide offering evidence-based tips for improving sleep quality and managing common sleep disorders.,https://www.mentalhealth.org.uk/explore-mental-health/publications/how-sleep-better,Guide,sleep|insomnia|rest|wellness,calm,all,Mental Health Foundation,English
4,Looking After Your Mental Health: A Guide for Young People,Youth-focused guidance to help understand mental health better and develop healthy coping mechanisms.,https://www.mentalhealth.org.uk/explore-mental-health/articles/looking-after-your-mental-health-guide-young-people,Guide,mental-health|youth|self-care|wellbeing,supportive,young_adults,Mental Health Foundation,English
5,Grounding Techniques for Anxiety,Article about evidence-based grounding techniques to manage anxiety and panic in the moment.,https://www.therapistaid.com/therapy-article/grounding-techniques-article,Article,anxiety|grounding|coping|mindfulness,calm,all,Therapist Aid,English
6,Anxiety Disorders - WHO Fact Sheet,Comprehensive information about anxiety disorders including symptoms diagnosis and treatment options from WHO.,https://www.who.int/news-room/fact-sheets/detail/anxiety-disorders,Article,anxiety|mental-health|symptoms|treatment,informative,all,WHO,English
7,Depression - WHO Fact Sheet,Authoritative information about depressive disorders including prevalence symptoms and evidence-based treatments.,https://www.who.int/news-room/fact-sheets/detail/depression,Article,depression|mental-health|symptoms|treatment,informative,all,WHO,English
8,Anxiety for Kids & Teens (Video),Video presenting coping strategies for managing anxious feelings specifically designed for children and teenagers.,https://www.youtube.com/watch?v=XfcZ0McM-RI,Video,anxiety|youth|coping|strategies,supportive,young_adults,Mental Health Center Kids,English
9,How to Deal with Anxiety - 3 Tools for Teens,Video demonstrating three practical techniques to manage anxious thoughts tailored for teenage audiences.,https://www.youtube.com/watch?v=_H5QFfiU0s0,Video,anxiety|teens|techniques|mental-health,supportive,young_adults,Amaze Org,English
10,Understanding Suicide,Comprehensive article providing information about suicide risk factors warning signs and prevention strategies.,https://www.befrienders.org.my/understanding-suicide,Article,suicide|prevention|crisis|support,urgent,all,Befrienders Kuala Lumpur,English
