url,title,body
https://www.mentalhealth.org.uk/explore-mental-health/blogs/tackling-digital-exclusion-older-people,Tackling digital exclusion in older people,"This year’s theme set by the UN is ‘Digital Equity for All Ages’. In this blog we are going to discuss the issue of digital exclusion in older people and set out what we are doing about it. Digital exclusionis where a section of the population doesn’t have access to the use of digital communications to help them fully participate in society. One of the feelings millions of us experienced during the coronavirus pandemic was loneliness. In our combined efforts to stay safe and save lives, our usual ways of seeing family, friends or just familiar faces were put on pause. Many of us turned to digital means of communication to connect with the people in our lives. Whether that was arranging a virtual movie night with a friend, a quiz night with family or simply a phone call with a work colleague. However, the pandemic showed us that access to these digital forms of communication isn’t available or accessible to everyone. The issue of digital exclusion in later life has become starkly apparent: research by the Centre for Aging Better emphasised the significant digital divide among 50–70-year-olds and how this has worsened because of Covid. To illustrate how digital access declines in older demographics, the report highlights ONS (The Office of National Statistics) figures which show the state of digital exclusion in the UK: There are many reasons why older people can be digitally excluded. The inequalities in our society mean that those with the most wealth have far more economic resources, social support and knowledge to be digitally included. For a variety of reasons, later life housing schemes also struggle to provide Wi-Fi. The pandemic has taught us that digital access is essential, not an optional extra. Digital inclusion is about working with communities to address issues of opportunity, access, knowledge and skill in relation to using technology and, in particular, the internet.1 Digital inclusion is more than just being able to get online; it’s also about having the confidence to learn new digital skills. When we have the confidence to connect with others, or access services through the digital world, this can benefit our mental health. Digital access could include accessing GP surgeries or streaming services to watch your favourite shows. Much as we shy away from it, we are an aging society. There is a growing need for more projects which offer well-resourced digital inclusion packages, with tailor-made training and support. By 2050 it is projected that one in four people will be aged 65 and over. In 2019 it was approximately one in five. We see digital inclusion as priority for older people. We also need streaming services to make more programmes which challenge stereotypical views of ageing. At the heart of thePicture This projectare 12 weekly virtual creative sessions. We know that sometimes expressing emotions creatively is easier than using words. In the virtual creative sessions, art facilitators bring different themes to the weeks and talk about the work of a diverse range of artists. People taking part receive a bag full of high-quality art materials. The group then visually explore issues around identity, passions and how they are managing emerging from the pandemic. Whilst the course focuses on creative art and drawing, the groups also learn basic IT skills. These skills range from how to send an e-mail, how to connect with family and friends remotely and attend events to how to use Facebook and other social media channels, and how to order shopping online. It has been life-changing for some: “I spoke with family on the device, and it was as though they were in the room; it was incredible. I have also joined Facebook and connected with people who I haven’t seen in over 40 years.” – Edward (65) “My daughter lives in Ghana and we have connected online. She is telling her neighbours she can’t believe her mother is now online and learning at the age of 90.” – Phyllis (90) The Picture This project is both improving people’s mental health by increasing their social connections and by building their skills and confidence so that they can get satisfaction from the digital world. Find out more about the Picture This project Donate nowand help us to continue our vital work with people in later life. Poor mental health is not an inevitable part of ageing – people can and do live well in later life. There are no results that match your filtered options. Pleaseresetyour filters and try again. Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/mental-health-advice-older-people-during-coronavirus-outbreak,Mental health advice for older people during the coronavirus outbreak,"This content mentions loneliness or isolation, which some people may find triggering. Most of us haven't experienced anything like the coronavirus pandemic in our lifetimes. So it's not surprising if you feel scared, exhausted, vulnerable or simply fed-up. Make sure you take care of your physical and mental well-being. You don’t have to do it by yourself – there are people and organisations out there to help you. If you feel affected by the content you have read, please see ourget helppage for support. The Mental Health Foundation is committed to bringing readers reliable and relevant information. All of our pages are written and regularly reviewed by our mental health experts, in line with official advice on the coronavirus outbreak.

We need your support to keep providing vital information during this time. There are no results that match your filtered options. Pleaseresetyour filters and try again. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/focus-mental-health-minority-men,A focus on the mental health of minority men,"This content mentions suicide or suicidal thoughts and discusses discrimination or discriminatory violence (such as homophobia, racism, sexism and ableism). Please read with care. There are details of where to find help at the bottom of this page. It’s not long since we spent the month of November putting particular emphasis on men’s mental health. There’s a good reason for doing so. Some statistics about men’s mental health in the UK are really worrying. For example,men are under-representedwithin primary mental health services in England, such as Increasing Access to Psychological Therapies (IAPT) but are over-represented within acute psychiatric services. In recent years, men have also accounted for 75% ofcompleted suicides, which is currently the biggest cause of death for men under 50. But it’s important not to treat men as a monolithic group because we will have different experiences of the world based on – among other things - our ethnicity, national origin, sexuality and class. And at the Mental Health Foundation, we look at inequalities because often, those variables put us at different risks for developing poor mental health. For example, Black men in the UK aremore likely to experience psychosisthan their white peers and more likely to be detained under the Mental Health Act. Suicide rates among men of Black African and Black Caribbean origin are also higher. Gay, bisexual and trans men are also at greater risk of poor mental health. And there is some speculation that having had their sexuality or gender identity pathologized for years, there is mistrust of health professionals that can result in reduced help-seeking. Finally, Irish men in the UK are another group who have experienced higher rates of poor mental health. Irish People in the UK have hadhigher rates of hospital admissionfor poor mental health and a greater risk of suicide. A number of factors contribute to someone’s risk of having poor mental health or attempting suicide, includingpoverty. For men in the UK, it’s thought that some of it might also be down to the stories that our culture perpetuates aboutwhat it looks like to be a successful man. The imperative to be strong and self-reliant can impact our ability to connect and build relatedness. This can result in us feeling lonely and isolated, which in turn can impact our mental health. If you layer theexperience of discriminationon top of this, that may account for some of the increased risk minority men appear to face. And whilst many men, regardless of background, feel pressure to conform to masculine ideals, perhaps minority men feel particular pressure to appear strong relative to the majority. For men in general, it is important to create opportunities to connect and feel seen and heard. There is good work being done to achieve this. One example isAndy’s Man Club, which meets in locations around England to give men a space to talk, aiming to halvethe male suicide rate. Sometimes it helps to be with peers to discuss common difficulties. It can be important to have spaces that permit reflection on different aspects of our identity and some of the associated challenges. And those challenges might relate to being a man, being a gay man, or being a man and also an ethnic minority. At the Mental Health Foundation, we are currently delivering theComhar projectin partnership withicapand theLondon Irish Centre. Building on our decade of experience in peer support, the project offers weekly groups for Irish men in mid and later life. It represents an approach that has worked in various settings to foster community and break isolation. In delivering the project, our aim is to do just that, but also shore up a model that can generally serve the mental health of men, including minority men. If you are feeling like ending your life or feel unable to keep yourself safe, please call 999 or go to A&E and ask for the contact of the nearest crisis resolution team. These are teams of mental health care professionals who work with people in severe distress. If you feel affected by the content you have read, please see ourget helppage for support. 29th Oct 2025
      / Challenging mental health inequalities This piece explores some of the historical factors that affect mental health within the Black community, explains how this history shapes Black mental health today, why ‘resilience’ can be a double-edged term, and what should change to address these inequalities. 2nd Jul 2025
      / Challenging mental health inequalities The government has released the latest data about mental illness and treatment across the population in England. It confirms that more people than ever are struggling with their mental health - and they are not making it up. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/mental-health-research-whats-it-us,Mental health research - what's in it for us?,"This year marks70 yearssince the creation of the Mental Health Foundation. When the Foundation was initially started, it was known as the Mental Health Research Fund, and though it has changed in many ways over the years, mental health research is still at the core of what we do today. In particular, we focus on research related toprevention and mental health. This means exploring how mental health problems can be stopped before they occur and how we can support everyone with and without a mental health problem to stay well. There is a vast amount of mental health research, and it can be difficult to make sense of it all. How do we take stock of what we know and what we still need to discover? This is where theCochrane Common Mental Disorders teamcome in. The Cochrane team are key experts in “systematic reviews”, which is a way of comprehensively bringing together all the existing research on a topic and pooling the findings to understand better what the research tells us, how strong the evidence is, and where further exploration is needed. This type of work is important for truly understanding what the research means and whether we should apply it to practice, to policy, and to our own lives. The Mental Health Foundation has launched a new partnership between ourselves and Cochrane Common Mental Disorders, pulling on the strengths of both organisations to start a new programme of work that will focus on understanding what the research tells us in the areas of: mental health prevention, children and young people’s mental health, and the connection between mental health and physical health. However, the most important part of this new partnership isn’t either of us, it’syou. We strongly believe that for research to be meaningful, it needs to answer the questions that are most important to everyone, and it needs to do so in a way that has a real impact on people’s lives – their workplaces, their families and their communities. Mental health research - What’s In it for us? We will be looking to answer these questions over the coming weeks and months. Watch this space for further opportunities to get involved. We are excited to share this new step forward with you all. Help us answer the most pressing questions of our time to prevent mental health problems and help people lead mentally healthier lives. Donate now 12th Aug 2025
      / Research We know that work can have a big impact on our mental health and wellbeing. At the Mental Health Foundation, we decided to test and measure a shorter working week to find out what impact reduced hours might have on our staff and our organisation. 9th Sep 2022
      / Research As the Scottish Government prepares a new Mental Health and Wellbeing Strategy, we have a fresh opportunity to protect our nation’s mental health and well-being in the context of these national challenges and to draft a truly whole-of-government Strategy. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/nhs-long-term-plan-progress-and-way-forward,The NHS Long Term Plan: progress and a way forward,"NHS England has published the newNHS Long Term Plan, setting out a vision for the future of the NHS in England – including healthcare provision and outcomes to be achieved. As advertised, the plan includes, for the first time, new commitments to prevention and mental health and is also the first plan that goes well beyond the current political terms, indicating a shift towards more strategic, visionary and investment-based thinking. Understanding the future of mental health care as defined by the Plan requires understanding how the changes in the healthcare system will more generally affect mental health. And there are three important reasons to be optimistic: The NHS has committed to growing mental health spending as a proportion of the overall spending on the service, creating a new ringfenced local investment fund worth at least £2.3 billion a year by 2023/24. We welcome not just the much-needed increase in funding but also the ringfencing. This acknowledges the historical underinvestment in mental health – which the Foundation has pushed to change on several occasions. It also takes a step in the right direction to make mental health the strategic priority it should be, especially in the areas facing the deepest inequalities. The plan commits the NHS to continue targeting a higher share of funding towards areas with high health inequalities than would have been allocated using the previous system of the ‘core needs formula’. From April 2019, NHS England will introduce a more accurate assessment of the need for community health and mental health services. It will ensure that allocations formulae are more responsive to the greatest health inequalities and unmet needs. To ensure local programmes are focused on reducing health inequalities, the NHS will set out specific, measurable goals for narrowing inequalities, including those relating to poverty, perhaps the strongest determinant of poor mental health. In 2019, all local health systems will be expected to set out what specific action they will take to reduce health inequalities by 2023/24 and 2028/29. In collaboration with Public Health England and voluntary and community sector partners, NHS England intends to develop and publish a menu of evidence-based interventions for use at a local level to contribute towards the goal of reducing health inequalities, including for groups that the Foundation has worked with in co-production, such as people with learning disabilities, older people, and carers of people experiencing health problems. To get funding, local areas will be crucial to show they are appropriately focusing on those with the greatest need. It is pleasing to see that access to funding is attached to ensuring that health inequalities are addressed as mental health problems are not evenly distributed across society. Generally, people living with mental health problems encounter poorer health outcomes more widely. On several occasions, the Foundation has strongly advocated for appropriate local action based on evidence. The plan brings a renewed focus on prevention – the strongest advocacy point we have pursued in the Foundation. There is a welcome emphasis on: These points can certainly do much to ensure our next generation will have better mental health outcomes. Diversifying the support available to people of all ages and enabling digital care can add to this optimism. The Long Term Plan brings some further positive priorities to transform the NHS's digital elements, including online access to records and using tools and interventions to support better care. It’s great that the changes will empower clinicians and people who use services while ensuring personal data protection. However, it’s not only the online aspect of the services but also the non-clinical elements that can bring much desired additional support. We often call this “social prescribing"", which provides more personalised therapeutic options outside clinical settings, such as exercise or art interventions. Encouragingly, the NHS will roll out the NHS Personalised Care model across the country, reaching 2.5 million people by 2023/24 and then aiming to double that again within a decade. As part of this work, link workers within primary care networks will work with people to develop tailored plans and connect them to local groups and support services. It is important to welcome the plans to improve health and mental health through action across different sectors. Integrated approaches within clinical and community settings are vital. We are pleased to have contributed to helping in making the plan more ambitious in going beyond the needs of the traditional clinical services and into public health approaches. We will have to see – and provide consultation to – the forthcoming Social Care green paper to understand how some of the elements of holistic care will be followed and also continue lobbying for increased local public health funding, which is critical in achieving the mission of prevention. Of course, our work does not end here. The Plan will now move into the arduous process of implementation, which has historically been hindered in England by complexity at a local level, systems that have lacked integration and persistent inequalities impacted by social structures and austerity. It is promising that several of the pledges cover an integrated care system for the country and are going beyond the current political cycle and over the next decade, but tracking progress and assessing impact won’t be straightforward. The investment has increased, but the resources are finite, and the focus on healthcare personnel (such as doctors and nurses) will have to remain on top of the agenda, especially in the context of Brexit. We will need to think innovatively about how we widen the workforce, including capitalising on the lived experience of peer workers and attracting talent into the mental health sector: both will require continued efforts to tackle stigma and articulate the very real rewarding aspects of working in mental health. The Health and Care Workforce Strategy for England will need to address these issues deeper. It seems that for the first time in its 70-year history, the NHS has gone a considerable way to provide the promise of action to prevent mental health problems. To achieve this promise of prevention – as we have been consistently presenting at the Foundation – we will need to address the wider determinants of health, which most often lie in non-health domains (social, education, housing, criminal justice, family, labour). We now need to work together across the sectors to ensure mental health remains a priority within and throughout the implementation process. To achieve that, we are calling for a cross-government body to protect the ringfenced funds and the commitment to growth and to help focus on the specifics for the next Five Year Forward View on Mental Health. This should truly go beyond just the traditional clinical NHS services for people of all ages. At the Foundation, we will continue to support to build on this start and ensure we address those factors that continue to place our mental health at risk so that we can protect the mental health of the next generations as the most valuable asset we will hold. We need to capitalise on the positive steps being taken by the NHS, and ensure everyone has the tools to look after their mental health, and that their social circumstances allow them to thrive. We need your help to do this, please consider a donation today. 29th Oct 2025
      / Challenging mental health inequalities This piece explores some of the historical factors that affect mental health within the Black community, explains how this history shapes Black mental health today, why ‘resilience’ can be a double-edged term, and what should change to address these inequalities. 2nd Jul 2025
      / Challenging mental health inequalities The government has released the latest data about mental illness and treatment across the population in England. It confirms that more people than ever are struggling with their mental health - and they are not making it up. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/70-years-do-we-understand-prevention,70 years on: do we understand prevention?,"We are all about prevention at The Mental Health Foundation, and 2019 marks 70 years since the organisation was founded, then known as the Mental Health Research Fund. As a charity, we focus on communities of people connected by certain characteristics they share. We do not deliver clinical services to people who are in distress. When one takes a 'macro' view like this, we don’t forget the individuals, rather we invest energy in understanding what makes people who belong in certain communities or walks of life more vulnerable to developing mental health problems than others. For example, we know that 'determinants' (a factor that decisively affects the nature or outcome of something) like living in poverty, not receiving a full education, or belonging to a group that is 'marginalised' or discriminated against put us at a higher risk of experiencing distress. And there has never been a more urgent time than now to focus on preventing this distress and subsequent problems. However, when discussing prevention, we don’t follow the narrow sense of the term. We know that mental health problems affect millions of us in our families, communities and workplaces. We all have mental health that will fluctuate in response to life events. It would be unwise to suggest that prevention is only for those who currently feel 'in good health'. We define prevention in the 'public health' (the health of the population as a whole) sense of the term. Under this lens,there are three types of prevention. Primary prevention focuses on stopping problems before they emerge. Primary prevention is relevant to all of us – often whole societies or nations – hence, solutions (or in our jargon: 'interventions') targeting primary prevention are called 'universal'. Examples of universal solutions include a national anti-stigma campaign that ensures we all follow the same standards when discussing mental health. Our universal work in the Foundation includes the Peer Education Project, which delivers courses enhancing 'mental health literacy' (knowledge and beliefs about mental ill-health which aid their recognition, management or prevention) in schools for all the students in Year 7. Universal solutions neither discriminate nor focus. Rather they intend to protect. We can all identify non-mental health-related universal solutions already in our lives, including banning smoking across whole buildings and making it mandatory to wear seat belts in the car. Often, a universal approach will aim to protect the most vulnerable community members in a non-stigmatising way, thus benefitting everyone. For example, mandating that all buildings have an accessible entrance means that people using wheelchairs can access space, but this is also handy for those carrying a large suitcase or delivering a large package. This can be extended to how we talk about health and illness. In mental health, ensuring that the language that we use is thoughtful and appropriate (e.g. on days when we struggle, saying 'I am feeling low' instead of 'I am so depressed') respects those who experience disabling symptoms while enabling an inclusive community. Mirroring this with our actions and legislations goes a step further to applying a protective 'filter'. Secondary prevention is the type of prevention that focuses on the people who share characteristics that place them at higher risk of developing a mental health problem. Thus, secondary prevention solutions (interventions) are often called 'targeted' or 'selective'. Examples of targeted solutions include enabling support for those who are lonely or marginalised, giving access to higher education for young people who are excluded from schools, or ensuring quick access to support for those who have experienced trauma or been victims of hate crime. For example, this is a big area of focus for us at the Foundation in our work with refugees. A range of experiences or characteristics we are born with places us at an increased risk of developing mental health problems. These in public health are called “inequalities” because they mean that certain groups of people face an unequal risk of becoming unwell. They can include being LGBT (as we know people might face a higher chance of being bullied) or having a physical health condition like diabetes (where we know that there is a 30% higher chance of developing a mental health problem like depression). Tackling inequalities in our communities means that we need to look into all these social, economic, environmental and other factors and invest a higher amount of energy in engaging people who might not immediately engage with universal approaches. Hence, these targeted solutions are often aimed at people experiencing some distress symptoms, and they are about intervening when it matters most. The third layer of prevention is called tertiary. This type of prevention has a lot to do with our quality of life when we have experienced a problem and reduces the risk for recurrence. Solutions (interventions) in tertiary prevention focus on people who are already affected by mental health problems and are often called 'indicated' solutions. Indicated solutions aim to reduce symptoms that can be disabling, limit complications of an illness, and empower people experiencing problems to manage their own symptoms as much as possible. Even though tertiary prevention works with people with a diagnosis, it is seen as distinct from treatment but complementary in that the goal is shared in reducing the severity of an illness and the risk of relapse. Indicated solutions are, more often than not, set in communities and not in clinical settings. Some of our work at the Foundation, which focuses on enhancing self-management (taking responsibility for one's own mental health support and well-being), is framed around the principles of tertiary prevention. Often the aim is to shift the focus of control from the clinician to the person who is using services in identifying what works best for them in their circumstances. For example, this year, we are starting a new project working with Irish men in Camden & Islington. This community is known to have mental health issues and doesn’t traditionally engage with clinical mental health services. The three types of prevention are not in competition or clashing in scope. Rather, to tackle an issue as common and widespread as mental health problems, we need whole society plans that invest in all prevention layers. Working together at the level of the national government, local authorities, and bigger or smaller third-sector organisations, we need to focus efforts on rolling out universal solutions that protect everyone while enabling targeted and indicated solutions supporting those at risk or experiencing problems. In public health, we call this holistic approach 'proportionate universalism'. This principle suggests that our actions should be universal (i.e. benefitting everyone), but with a scale that is proportionate to the level of disadvantage (i.e. more intensive for those experiencing higher risk or problems). The evidence is clear that although some of us are born with a higher genetic risk of developing a mental health problem, this is not deterministic. Even in the most “likely” cases (e.g. an identical twin whose sibling lives with a diagnosis of schizophrenia), the hereditary risk (characteristics or diseases passed from the genes of a parent to a child), seems to be less than 50%. Hence, we need to invest more in the relationship of these internal factors with the societal factors that shape our lives. This is well understood in physical health when talking, for example, about the prevention of heart disease or lung cancer. However, globally, mental health still lags behind physical health in terms of spending and funding. To address mental health problems, we would need a concentrated effort as a society to tackle those persistent inequalities with prevention and early intervention. Let’s make a world with good mental health, everyone’s business. We want to make a world with good mental health for all, but we can't do it by ourselves. We need your help to move us forward. Donate today and join our movement. 11th Sep 2025
      / Prevention resources and tools Advice for students who are going to or returning to university to make the most of their experience while protecting their mental health. 28th Feb 2025
      / Prevention resources and tools The first of March is Self-Injury Awareness Day, a day for breaking down stereotypes and sharing messages of support for people who self-harm. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/reclaiming-our-heritage,Reclaiming Our Heritage,"In 2007, the Mental Health Foundation held the first everScottish Mental Health Arts Festival(SMHAF). Since then, it has grown to be the largest and oldest mental health festival in the world and as such it has become a significant part of the Scottish cultural landscape. Our latest arts project, Reclaiming Our Heritage, sets to record and preserve the rich cultural heritage in Scotland which surrounds the arts and mental health community. The Foundation has successfully accessed funding from the National Lottery Heritage Fund for this two-year project. Using oral testimonies, we will be exploring a time period of roughly 50 years, from the 1960s up until the mid-2000s when SMHAF was first established. Testimonies will be gathered by a group of 20 volunteers from across Scotland who will be taught new skills in oral history and heritage. The training has been really interesting, and it’s been good to meet other people who are involved in the project. We’ve learnt quite a lot about each other just through the trial interviews! It is our hope that through gathering these hidden stories from artists, community groups, service users and more that we will be able to offer a new narrative around mental health in Scotland. Often, our history is cast with memories of asylums and the impact of stigma and discrimination. However, as managers of SMHAF, we know that the artistic community have played a vital role in promoting positive messages around mental health. We all have mental health and art has been used as a tool to open conversations and challenge ideas for decades. We want this project to expand the public’s perception of what mental health is and can be, to promote the cultural significance of this social movement. People will have a chance to access snippets from the archive through theSMHAF websitein 2021. A mobile exhibition will also showcase the findings from the project, allowing others to learn more about the mental health and arts movement in Scotland. It is our hope that through gathering these hidden stories from artists, community groups, service users and more that we will be able to offer a new narrative around mental health in Scotland. One way that the Mental Health Foundation supports using the arts to improve mental health is through the annual Scottish Mental Health Arts Festival (SMHAF). Now one of the largest festivals of its kind in the world, SMHAF brings together communities, artists and activists from all over Scotland to be creative and engage with arts events exploring mental health, including film, theatre, literature, visual arts, dance and comedy. Learn more There are no results that match your filtered options. Pleaseresetyour filters and try again. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/refugees-behind-every-statistic-there-person-and-life-matters,"Refugees: behind every statistic, there is a person and a life that matters","DuringRefugee Week, we took some time to reflect on the issues that force people to flee from their countries and their loved ones. Our aim was to try and understand the impact that fleeing from war and persecution has on people’s mental health, made worse when one arrives in a country where they don’t understand the language, culture, or system. When we talk about integration, let’s include asylum seekers' and refugees’ voices in mainstream forums so that they feel less isolated and ultimately empowered to thrive in their new homes. I know only too well the consequences of divisions and armed conflict, precisely what drove my family and me away from my country to seek a new life in Scotland. Sadly, we live in a world that “has a population of 70.8 million forcibly displaced people”of which 29.9 million are refugees.[1]According to the UNHCR, in 2018 28 people were forced to flee their homes every minute. Behind every statistic, there is a person and a life that matters; all of us deserve a chance to fulfil our aspirations and dreams. Beyond the moral argument, let’s remember our legal responsibilities to protect and safeguard refugees under the 1951 Refugee Convention.[2] We are currently celebrating Refugee Festival Scotland and the meaningful contribution refugees make in our society. This is an opportunity to connect communities but also to raise awareness of the experiences of asylum seekers and refugees here in Scotland. In our journey to “help people to thrive through understanding, protecting, and sustaining their mental health”, we have established theRefugee Health Policy and Strategy Action Group, a national project equipping asylum seekers and refugees to take a greater role in advocating on issues of mental health and wellbeing, both locally and nationally. In line with national policy frameworks such as the New Scots Strategy and Volunteering for All, we have helped establish a pool of mental health advocates to address the longstanding issue that refugees are less likely to receive mental health support than the general population, due to cultural and language barriers andstigma. While we are proud of thevision of the New Scots Strategy, Scotland’s innovative plan for the integration of asylum seekers and refugees, we must also ensure that individuals and groups are fully included in society. TheRefugee Health Policy and Strategy Action Groupare focusing in Glasgow on how asylum seekers and refugees can have a better voice and visibility in health, housing and education civic forums. In North Lanarkshire, Syrian refugees are engaging with the local community through storytelling and individuals are connecting with their neighbours by being the authors of their stories. In North Ayrshire, we are exploring gardening as a means of social enterprise. There comes a time when one needs to pause and reflect, and I was fortunate to have had that last week in Northern Ireland. I was delighted to receive an invitation from the Social Change Initiative to attend their annual convening to explore the theme of “border and boundaries”. It was an amazing opportunity to meet new people and to reflect and learn from some formidable global human rights leaders. Alongside the discussions, I was exposed to the issues of contested space and segregation along the peace walls in North and West Belfast. At a time of UK-wide division, it was great to disconnect from the general narrative, instead meeting and learning from local people, who possess encyclopaedic insights into the Troubles (with the consequent impact on people and communities), as well as conflict resolution and reconciliation. I had enlightening conversations about the potential repercussions of Brexit with individuals involved in the peacebuilding process, and what that might mean for the future of Great Britain. As put by a fellow participant, it was truly an “eye-opening, brain-popping” experience. I found the engagements enhanced my understanding of the context and made me think deeper about the meaning of it all; I confess that I was challenged by the concept of “peace walls”, the role of identity in the conflict and the legitimizations of segregated communities.  It was too close to my own heart and experiences. 1https://www.unhcr.org/globaltrends2018/ 2https://www.unhcr.org/uk/1951-refugee-convention.html £25 could help us influence policymakers and advocates for change, so we can transform lives Explore our programmes about refugees and helping their mental health. Asylum seekers and refugees face unique and complex challenges related to their mental health. They are often at greater risk of developing mental health problems. There are no results that match your filtered options. Pleaseresetyour filters and try again. This content is tagged with: Home of Mental Health Awareness Week"
https://www.mentalhealth.org.uk/explore-mental-health/blogs/excellence-youth-work-see-me-youth-champions,Excellence in Youth Work: See Me Youth Champions,"This year, in partnership with NHS Health Scotland, we sponsored Scotland’s first ‘Mental Health and well-being’ award at YouthLink Scotland’s National Youth Work Awards 2018 to recognise the power of youth work when it comes to helping young people to stay mentally well. We spoke toSee Meabout their Youth Champions. At See Me, we have one big message for young people in Scotland, that it is okay not to be okay. This is a message that came from our Youth Champions and one that we want to become part of everyday life for young people, and the adults in their lives. It’s so important because we all have mental health. Our Education and Young People’s programme is all about empowering young people, to look after their own mental health, to understand why stigma and discrimination are so devastating, and to help them look out for their pals. We do this though a Whole School approach where staff and pupils can learn and work within a supportive community in an environment free from mental health stigma and discrimination. Stigma isn’t just an issue that impacts adults. We did research which found that just 37% of people aged 15 to 25 years would tell someone if they were finding it difficult to cope, whereas 78% would mention it to others if they were physically ill. Young people reported that they often struggled to find the words to describe how they are feeling. We have 36 Youth Champions, who all have experienced tough times with their own mental health. They train pupils to be Schools Champions who can lead in changing cultures in schools. We think it is so important to have young people working with and training young people, in things like Scottish Mental Health First Aid (SMHFA) and the WOYM pack. Things change quickly when you’re young, and most of our staff haven’t been in school for at least ten years, so we want pupils to be able to relate to the people who are training them. We are the only youth programme in Scotland with young volunteers who have been trained as trainers in SMHFA and are training other young people in the qualification. Young people felt that having the same training and knowledge in every school was important so everyone would know where to get support. The pack has had 686 downloads, 142 people trained in Scottish Mental Health First Aid (of which 61 are pupils) 42 staff attended peer workshops and 349 pupils have attended peer workshops. The resources and training are free to download and accesshere. In the spirit of this involvement, we thought it was best for one of our Youth Champions to help us answer this one: Through volunteering for See Me as a young champion I’ve seen first-hand the positive impact our campaigns have had on young people. See Me really listen to what their volunteers have to say and I think that’s why their campaigns are so successful; they target the issues that real people are facing today. I think it really helps to have young volunteers going in to teach other young people about mental health issues, stigma, and help-seeking (particularly going into schools), because it’s easier for the young people to relate to us and feel comfortable speaking their mind instead of seeing us as teachers. It’s amazing to see the transformation in schools that have worked with See Me, both in the attitudes of the students but also in what help the schools provide and the confidence of the teachers to provide this help. There has definitely been a shift in mental health culture over recent years. Being a volunteer has also had a big positive impact on my own life. I’ve met other volunteers with similar experiences to my own, who really understand what it’s like to walk in my shoes, and we’ve also been able to learn from each other’s differences; some of them are now my closest friends. I’ve learned so much about how to express my opinions and experiences effectively through the media, how to plan and lead workshops for groups of young people, and to make funding pitches. Training me in mental health first aid has given me the confidence to help others who are in a mental health crisis and signpost them to appropriate help. These are all things that will really help in my own future career, where I hope to continue working in mental health or public health. Volunteering for See Me has shaped who I am as a person, giving me the confidence to speak out about issues surrounding mental health and to encourage others to seek help. Working within the mental health sector and with young people is incredibly rewarding, however, at times very hard work, making it difficult to prioritise our own well-being. What we do have is a working environment where it's okay to be human, where we display empathy and compassion and feel able to discuss our feelings whether positive or as a result of challenges. We ensure that there is space to be honest about our own well-being and ensure a network of support within the team to ensure that we are embodying the message that we share with our youth volunteers. This may be through supporting others in tasks to manage workload, organising a walk at lunch, allowing time to decompress after a stressful period, ensuring we refill each other's cups of coffee, and even just checking in with a ‘how are you doing today?’. Our organisation also puts support in place such as the Employee Assistance Programme, providing a safety net of support to ensure our well-being. #ItsOkayToNotBeOkay 30th Oct 2025
      / Families, children and young people This blog explores current trends in student drinking and the impact that alcohol can have on our mental health, particularly for university students. 11th Sep 2025
      / Families, children and young people Every child deserves the chance to grow up healthy, happy, safe, and supported.  Childhood health inequalities in Scotland are deeply unjust, but they are not inevitable. Scotland needs a bold, joined-up preventative policy approach, rooted in equity and empathy to effectively tackle these inequalities. This content is tagged with: Home of Mental Health Awareness Week"
