ID,url,title,description,lang,tags,tone,audience,source,relevance
1,https://www.mentalhealth.org.uk/explore-mental-health/factors-affect-mental-health,Factors that affect mental health,"At the Mental Health Foundation, we know that mental health is complex and our wellbeing is determined by a combination of biological, psychological, and social factors: Home of Mental Health Awareness Week.",en,mental-health,neutral,general-public,Mental Health Foundation,7
2,https://www.mentalhealth.org.uk/explore-mental-health/blogs/scottish-mental-health-arts-festival-2025,Scottish Mental Health Arts Festival 2025,"Location:United Kingdom, England, Northern Ireland, Wales, Scotland, Aberdeen, Dundee, Edinburgh, Falkirk, Glasgow, Scottish Highlands, Overseas Led by our arts team at the Mental Health Foundation, theScottish Mental Health Arts Festivalis one of the world's leading arts events dedicated to mental health.",en,mental-health,supportive,general-public,Mental Health Foundation,6
3,https://www.mentalhealth.org.uk/explore-mental-health/blogs/toni-giugliano-talks-about-pride-and-mental-health,"Pride, being gay and the effects on my mental health","This content mentions suicide or suicidal thoughts, death, discrimination or discriminatory violence (such as homophobia, racism, sexism and ableism), substance abuse and addiction (which may include mentions of alcohol or drug use), loneliness, depression, anxiety and trauma, which some people may find triggering.",en,anxiety|depression,serious,general-public,Mental Health Foundation,6
4,https://www.mentalhealth.org.uk/explore-mental-health/statistics,Mental health statistics,"Would you like to know how rates of mental ill-health differ between men and women? Or the costs of mental health problems in the UK and around the world? Here you can find a selection of the key statistics related to mental health, including statistics on: Home of Mental Health Awareness Week.",en,mental-health,neutral,general-public,Mental Health Foundation,6
5,https://www.mentalhealth.org.uk/explore-mental-health/blogs/racism-and-mental-health,Racism and mental health,"This content mentions suicide or suicidal thoughts, discrimination or discriminatory violence (such as homophobia, racism, sexism and ableism), substance abuse and addiction (which may include mentions of alcohol or drug use), trauma, depression and anxiety.",en,anxiety|depression,neutral,general-public,Mental Health Foundation,6
6,https://www.mentalhealth.org.uk/explore-mental-health/blogs/ceo-mark-rowland-reflects-findings-casey-report-and-its-implications-mental-health,CEO Mark Rowland reflects on the findings of the Casey report and its implications for mental health,"This content mentions discusses discrimination or discriminatory violence (such as homophobia, racism, sexism and ableism) and mentions sexual assault, abuse or violence, trauma, depression and anxiety, which some people may find triggering.",en,anxiety|depression,neutral,general-public,Mental Health Foundation,6
7,https://www.mentalhealth.org.uk/explore-mental-health/podcasts/childrens-mental-health-world-mental-health-day-2018,Children's mental health on World Mental Health Day 2018,"Jane Caro, Associate Director of Programmes (Families, Children and Young People) at the Mental Health Foundation, discusses children's mental health and our Make it Count campaign for World Mental Health Day 2018.",en,mental-health,neutral,general-public,Mental Health Foundation,6
8,https://www.mentalhealth.org.uk/explore-mental-health/publications/state-generation-children-young-people,State of a Generation: Preventing mental health problems in children and young people,"As part of the Mental Health Foundation’s 70thanniversary, we have commissioned three reports, each looking at a different stage in life and the key things that both challenge and support mental health at these stages.",en,mental-health,neutral,general-public,Mental Health Foundation,5
9,https://www.mentalhealth.org.uk/explore-mental-health/publications/state-generation-upheaval-uncertainty-change,"State of a Generation: Upheaval, uncertainty and change","As part of the Mental Health Foundation’s 70th anniversary, we commissioned a series of reports, each looking at some key factors that can challenge and support our mental health at different stages of life.",en,mental-health,neutral,general-public,Mental Health Foundation,5
10,https://www.mentalhealth.org.uk/explore-mental-health/publications/children-and-young-people-learning-disabilities-and-their-mental-health,Children and young people with learning disabilities and their mental health,"This information pack is intended to provide a basic introduction to mental wellbeing and mental health problems, before considering mental health problems in children and young people with learning disabilities in more depth.",en,mental-health,neutral,general-public,Mental Health Foundation,5
11,https://www.mentalhealth.org.uk/explore-mental-health/blogs/black-mental-health-and-resilience,Black mental health and resilience,"Location:United Kingdom, England, Northern Ireland, Wales, Scotland, Aberdeen, Dundee, Edinburgh, Falkirk, Glasgow, Scottish Highlands, Overseas This piece explores some of the historical factors that affect mental health within the Black community, explains how this history shapes Black mental health today, why ‘resilience’ can be a double-edged term, and what should change to address these inequalities.",en,mental-health,neutral,general-public,Mental Health Foundation,4
12,https://www.mentalhealth.org.uk/explore-mental-health/publications/mental-health-equality-manifesto-next-government,Towards mental health equality: a manifesto for the next UK government,It is seven years since the Health and Social Care Act said the NHS would give mental health parity with physical health – setting out an ambition that mental health should always be treated with the same priority and value as physical health.,en,mental-health,neutral,general-public,Mental Health Foundation,4
13,https://www.mentalhealth.org.uk/explore-mental-health/publications/mental-health-equality-developing-cross-government-approach,Towards equality for mental health: developing a cross-government approach,This report from the Mental Health Policy Group (of which we are a member) considers in more detail the steps that must be taken if the ambition of ‘parity of esteem’ for mental health is to be achieved in England.,en,mental-health,neutral,general-public,Mental Health Foundation,4
14,https://www.mentalhealth.org.uk/explore-mental-health/kindness,Kindness and mental health,"In 2020, we found that 63% of UK adults agree that when other people are kind it has a positive impact on their mental health, and the same proportion agree that being kind to others has a positive impact on their mental health.",en,mental-health,neutral,general-public,Mental Health Foundation,4
15,https://www.mentalhealth.org.uk/explore-mental-health/statistics/depression-statistics,Depression: statistics,"Depression is a common mental disorder that causes people to experience depressed mood, loss of interest or pleasure, feelings of guilt or low self-worth, disturbed sleep or appetite, low energy, and poor concentration.",en,depression,serious,general-public,Mental Health Foundation,4
16,https://www.mentalhealth.org.uk/explore-mental-health/articles/well-being-and-people-seeking-sanctuary,Well-being and people seeking sanctuary,"Through our work in Wales withour partners the City of Sanctuary, we asked refugees and people seeking sanctuary what well-being means for them, what can impact their well-being, and what can help support their well-being.",en,general,serious,general-public,Mental Health Foundation,4
17,https://www.mentalhealth.org.uk/explore-mental-health/statistics/poverty-statistics,Poverty: statistics,"A growing body of evidence, mainly from high-income countries, has shown that there is a strong socioeconomic gradient in mental health, with people of lower socioeconomic status having a higher likelihood of developing and experiencing mental health problems.",en,mental-health,neutral,general-public,Mental Health Foundation,4
18,https://www.mentalhealth.org.uk/explore-mental-health/publications/children-mental-health-covid-policy-statement,Children and young people’s mental health during COVID,"Location:Scotland The mental health implications of children and young people returning to school in August 2020 following lockdown, and key recommendations for the Scottish Government to put in place to ensure that the mental wellbeing of our pupils is prioritised.",en,mental-health,serious,youth,Mental Health Foundation,3
19,https://www.mentalhealth.org.uk/explore-mental-health/statistics/men-women-statistics,Men and women: statistics,"This content mentions sexual assault, suicide or suicidal thoughts, self-harm, eating disorders, anxiety, abuse and violence, trauma, body image and substance abuse and addiction (which may include mentions of alcohol or drug use), and some people may find this triggering.",en,anxiety,neutral,general-public,Mental Health Foundation,3
20,https://www.mentalhealth.org.uk/explore-mental-health/publications/relationships-21st-century-forgotten-foundation-mental-health-and-well-being,Relationships in the 21st century: the forgotten foundation of mental health and well-being,"Relationships are one of the most important aspects of our lives, yet we can often forget just how crucial our connections with others are for our physical and mental health and well-being.",en,mental-health,neutral,general-public,Mental Health Foundation,3
21,https://www.mentalhealth.org.uk/explore-mental-health/blogs/excellence-youth-work-see-me-youth-champions,Excellence in Youth Work: See Me Youth Champions,"This year, in partnership with NHS Health Scotland, we sponsored Scotland’s first ‘Mental Health and well-being’ award at YouthLink Scotland’s National Youth Work Awards 2018 to recognise the power of youth work when it comes to helping young people to stay mentally well.",en,youth|mental-health,supportive,youth,Mental Health Foundation,3
22,https://www.mentalhealth.org.uk/explore-mental-health/blogs/mentally-healthy-workplaces-2025,Mentally healthy workplaces in 2025,"Location:United Kingdom, England, Northern Ireland, Wales, Scotland We are proud to share the evaluation of our recent one-year pilot of a 32-hour working week, along with the news that the Mental Health Foundation has made this a permanent initiative for staff, because of the substantial wellbeing benefits it has generated.",en,mental-health,supportive,general-public,Mental Health Foundation,3
23,https://www.mentalhealth.org.uk/explore-mental-health/blogs/cold-water-therapy-and-short-walks-help-my-mental-health-living-arthritis-daves-story,Cold-water therapy and short walks help my mental health living with arthritis: Dave's story,"Location:Wales Dave talks about how living with chronic arthritis and other health conditions affects his mental health – and how cold-water therapy and short walks, when he can, help him cope.",en,mental-health,neutral,general-public,Mental Health Foundation,3
24,https://www.mentalhealth.org.uk/explore-mental-health/publications/interface-between-dementia-and-mental-health,The interface between dementia and mental health,"While there has been considerable and welcome attention in the area ofdementiaover recent years, themental health of people in later life, and specifically the complex relationship between dementia and mental health problems, is a neglected area in public discourse, policy and service provision.",en,mental-health,serious,general-public,Mental Health Foundation,2
