ID,URL,Title,Description,Tags,Tone,Audience,Source,Locality (yes or no),Country,Relevance
1,https://www.nimh.nih.gov/health/topics/depression,Depression,"Learn about NIMH research on depression. Find resources on the signs and symptoms of depression, types, and potential treatments and therapies.","anxiety, depression",informative,youth,NIMH,no,United States,17
2,https://www.nimh.nih.gov/health/find-help,Help for Mental Illnesses,"If you or someone you know has a mental illness, there are ways to get help. Use these resources to find help for yourself, a friend, or a family member.",,informative,youth,NIMH,no,United States,2
3,https://www.nimh.nih.gov/health/topics,Health Topics,"Learn more about mental disorders, treatments and therapies, and where to find clinical trials.","anxiety, depression",informative,youth,NIMH,no,United States,10
4,https://www.nimh.nih.gov/health/statistics,Statistics,"NIMH statistics pages include statistics on the prevalence, treatment, and costs of mental illness for the population of the United States, in addition to information about possible consequences of mental illnesses, such as suicide and disability.","anxiety, depression",informative,general public,NIMH,no,United States,13
5,https://www.nimh.nih.gov/health/publications,Brochures and Fact Sheets,"Download, read, and order free NIMH brochures and fact sheets about mental disorders and related topics. Publications are also available in Spanish.","anxiety, depression",informative,youth,NIMH,no,United States,18
6,https://www.nimh.nih.gov/health/trials,Clinical Trials – Information for Participants,"Learn about clinical trials, why people participate in them, what to expect during one, how to find a study, and what to expect after the trial is done.",,informative,youth,NIMH,no,United States,2
7,https://www.nimh.nih.gov/health/topics/anxiety-disorders,Anxiety Disorders,Learn about NIMH research on anxiety disorders. Find resources on the signs and symptoms of anxiety disorders and potential treatments and therapies.,"anxiety, depression",informative,youth,NIMH,no,United States,22
8,https://www.nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd,Attention-Deficit/Hyperactivity Disorder (ADHD),NIMH researches attention-deficit/hyperactivity disorder (ADHD). Find resources on the signs and symptoms of ADHD and potential treatments and therapies.,"anxiety, depression",informative,youth,NIMH,no,United States,11
9,https://www.nimh.nih.gov/health/topics/autism-spectrum-disorders-asd,Autism Spectrum Disorder,Learn about NIMH research on autism spectrum disorder. Find resources on the signs and symptoms of autism and potential treatments and therapies.,,informative,youth,NIMH,no,United States,5
10,https://www.nimh.nih.gov/health/topics/bipolar-disorder,Bipolar Disorder,"Learn about NIMH research on bipolar disorder. Find resources on the signs and symptoms of bipolar disorder, types, and potential treatments and therapies.","anxiety, depression",informative,youth,NIMH,no,United States,10
11,https://www.nimh.nih.gov/health/topics/borderline-personality-disorder,Borderline Personality Disorder,Learn about NIMH research on borderline personality disorder. Find resources on the signs and symptoms of borderline personality disorder and potential treatments and therapies.,"anxiety, depression",informative,general public,NIMH,no,United States,6
12,https://www.nimh.nih.gov/health/topics/covid-19-and-mental-health,COVID-19 and Mental Health,"Learn about NIMH research on the mental health impacts of COVID-19. Find additional resources on COVID-19, mental health, long covid, and how to find help.","anxiety, depression",informative,youth,NIMH,no,United States,8
13,https://www.nimh.nih.gov/health/topics/disruptive-mood-dysregulation-disorder-dmdd,Disruptive Mood Dysregulation Disorder (DMDD),NIMH researches disruptive mood dysregulation disorder (DMDD). Find resources on the signs and symptoms of DMDD and potential treatments and therapies.,"anxiety, depression",informative,youth,NIMH,no,United States,11
14,https://www.nimh.nih.gov/health/topics/eating-disorders,Eating Disorders,"Learn about NIMH research on eating disorders. Find resources on the signs and symptoms of eating disorders, types, and potential treatments and therapies.","anxiety, depression",informative,general public,NIMH,no,United States,6
15,https://www.nimh.nih.gov/health/topics/hiv-aids,HIV and Mental Health,"Learn about NIMH research on HIV, AIDS, and the risk of mental health disorders. Find additional resources, including treatments and therapies.","anxiety, depression",informative,general public,NIMH,no,United States,9
16,https://www.nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd,Obsessive-Compulsive Disorder (OCD),Learn about NIMH research on obsessive-compulsive disorder (OCD). Find resources on the signs and symptoms of OCD and potential treatments and therapies.,anxiety,informative,youth,NIMH,no,United States,5
17,https://www.nimh.nih.gov/health/topics/schizophrenia,Schizophrenia,"Learn about NIMH research on schizophrenia. Find resources on the signs and symptoms of schizophrenia, risk factors, and potential treatments and therapies.",,informative,general public,NIMH,no,United States,1
18,https://www.nimh.nih.gov/health/topics/suicide-prevention,Suicide Prevention,"Learn about NIMH research on suicide. Find resources on warning signs of suicide, treatments and therapies, prevention, and finding help in crisis.",,informative,youth,NIMH,no,United States,3
19,https://www.nimh.nih.gov/health/topics/post-traumatic-stress-disorder-ptsd,Traumatic Events and Post-Traumatic Stress Disorder (PTSD),Learn about NIMH research on post-traumatic stress disorder (PTSD). Find resources on the signs and symptoms of PTSD and potential treatments and therapies.,"anxiety, depression",informative,youth,NIMH,no,United States,14
20,https://www.nimh.nih.gov/health/publications/depression-listing,Publications about Depression,Publications About Depression,depression,informative,youth,NIMH,no,United States,9
21,https://www.nimh.nih.gov/health/statistics/major-depression,Major Depression,"An overview of statistics for major depression. Major depression is one of the most common mental disorders in the United States. For some individuals, major depression can result in severe impairments that interfere with or limit one’s ability to carry out major life activities.","anxiety, depression",informative,youth,NIMH,no,United States,12
22,https://www.nimh.nih.gov/health/publications/generalized-anxiety-disorder-gad,Generalized Anxiety Disorder: What You Need to Know,"Information about generalized anxiety disorder including common signs and symptoms, treatment options, and how to find help.","anxiety, depression",informative,youth,NIMH,no,United States,19
23,https://www.nimh.nih.gov/health/publications/panic-disorder-when-fear-overwhelms,Panic Disorder: What You Need to Know,"Information about panic disorder, including common signs and symptoms, treatment options, and how to find help.","anxiety, depression",informative,youth,NIMH,no,United States,12
24,https://www.nimh.nih.gov/health/publications/social-anxiety-disorder-more-than-just-shyness,Social Anxiety Disorder: What You Need to Know,"Information about social anxiety disorder, including common signs and symptoms, treatment options, and how to find help.","anxiety, depression",informative,youth,NIMH,no,United States,19
25,https://www.nimh.nih.gov/health/publications/phobias-and-phobia-related-disorders,Phobias and Phobia-Related Disorders,"Information about phobias and phobia-related disorders, including causes and treatments.",anxiety,informative,general public,NIMH,no,United States,5
26,https://www.nimh.nih.gov/health/publications/anxiety-disorders-listing,Publications about Anxiety Disorders,Download or order free publications about anxiety disorders.,anxiety,informative,youth,NIMH,no,United States,16
