ID,URL,Title,Description,Tags,Tone,Audience,Source,Locality (yes or no),Country,Relevance
1,https://au.reachout.com/mental-health-issues/anxiety/what-is-anxiety,What is anxiety?,"What is anxiety? Worried that an anxiety disorder is affecting your life? Learn what anxiety is, the symptoms of anxiety & what treatments are available.","anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
2,https://au.reachout.com/mental-health-issues/anxiety/how-to-manage-your-anxiety-and-stress,How to manage anxiety and stress,Knowing how to manage anxiety can be confusing and overwhelming. Gain some helpful advice on how to reduce stress and anxiety in this guide.,anxiety,supportive,youth,ReachOut Australia,yes,Australia,
3,https://au.reachout.com/mental-health-issues/anxiety/how-to-get-help-for-anxiety,How to get help for anxiety,Is anxiety having a negative impact on your life and relationships? Finding help for anxiety is an important step in dealing with the symptoms.,"anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
4,https://au.reachout.com/mental-health-issues/depression/support-services-for-depression-and-anxiety,Anxiety and depression support services,"Dealing with anxiety or depression is hard, but you don't have to do it alone. These anxiety and depression support services can help you to find support.","anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
5,https://au.reachout.com/mental-health-issues/anxiety/how-to-cope-if-youre-feeling-anxious-about-going-to-school,School anxiety: how to cope if you're anxious about going to school,"From making friends and stressing about exams, to bullying and racism, hear how other young people navigated school life.","anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
6,https://au.reachout.com/mental-health-issues/anxiety/what-is-a-panic-attack,Everything you need to know about panic attacks,Have you been experiencing panic attacks? Find out more about what causes a panic attack and what you can do to manage them in this guide.,"anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
7,https://au.reachout.com/mental-health-issues/anxiety/how-to-help-a-friend-with-panic-or-anxiety,How to help someone having a panic attack,Panic attacks can be scary at any age. Knowing how to help someone having a panic attack can make a huge difference. Gain some helpful tips here.,anxiety,supportive,youth,ReachOut Australia,yes,Australia,
8,https://au.reachout.com/mental-health-issues/anxiety/social-anxiety-disorder,Ask a therapist: Understanding Social Anxiety Disorder,Worried that there’s more to your social anxiety? Clinical psychologist Nasalifya Namwinga breaks down the signs of Social Anxiety Disorder and advises how to get support.,"anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
9,https://au.reachout.com/mental-health-issues/anxiety/georgias-story-what-happens-when-you-feel-too-anxious-to-go-to-school,Georgia's story: What happens when you feel too anxious to go to school,This is Georgia’s story about how she coped with school refusal (feeling too anxious to go to school) and how she got through it with her family's support.,"anxiety, depression",supportive,youth,ReachOut Australia,yes,Australia,
10,https://au.reachout.com/mental-health-issues/anxiety/generalised-anxiety-disorder,Generalised anxiety disorder,Generalised anxiety disorder (GAD) occurs when a person worries so excessively and uncontrollably that it starts to affect their life. Learn more about GAD.,anxiety,supportive,youth,ReachOut Australia,yes,Australia,
